Learning Rate, Activation Function, Weight Decay, Hidden Layers, Dropout Rate, Validation Error
0.0417857368334, tanh, 0.00605807392799, 32 96 64 128, 0.861385263433, 0.948291659355
0.0896372863597, relu, 0.00398494862162, 96 128 32 64, 0.498496826744, 0.978091239929
0.121571661314, relu, 6.90240678011e-05, 32, 0.337426958301, 1.16370582581
0.000187706458013, relu, 8.58902256787e-05, 128 32 64, 0.801535691675, 0.944720745087
0.000234309203813, tanh, 0.00312429088136, 128 64 96, 0.00153931471221, 0.594553470612
0.000405930491533, relu, 0.000574302573986, 32 128 64 96, 0.495557606792, 0.681689560413
0.123929456526, leaky_relu, 4.6879641584e-05, 96 32 128, 0.880768246545, 270.862884521
0.00119035354658, leaky_relu, 0.00907941326248, 32 64 128, 0.975772325342, 0.977880358696
0.00762583231069, tanh, 0.0193135987271, 128 64 96, 0.382685429965, 0.634242832661
0.0540881849582, relu, 1.15618804974e-05, 96 32, 0.255757352159, 0.851529657841
0.410015101007, tanh, 0.00327060329272, 128 32 64, 0.554490282299, 1.56651306152
0.000503262485588, relu, 0.0853955745451, 96 32 64, 0.478724392367, 0.97484844923
0.0749097908618, leaky_relu, 0.000400810534491, 64 32 128, 0.56533225733, 111.480667114
0.013438948527, leaky_relu, 0.000162381347204, 32 96 128, 0.167146515238, 0.621398091316
0.0262353521164, tanh, 6.13601285001e-05, 96 32 128, 0.58303648944, 1.62676107883
0.00195684442662, relu, 0.0341440148431, 32 64 128, 0.711022997598, 0.97798460722
0.0194508208057, relu, 7.37566216337e-05, 64 32 128 96, 0.501768318739, 0.746552467346
0.00478469456014, relu, 0.000399612863459, 32 64, 0.058702411055, 0.640507102013
0.000616020510532, tanh, 6.85404446862e-05, 32 96 128, 0.207662642694, 0.682768166065
0.000183489400428, leaky_relu, 0.00203072763867, 128 96, 0.0608713059601, 0.618037641048
0.00713204649679, leaky_relu, 0.00129079963819, 128 96 64 32, 0.7196313527, 0.806016504765
0.00368770646828, leaky_relu, 0.00824771703833, 32 128, 0.167710571411, 0.589759171009
0.00427944870204, leaky_relu, 0.00435166227093, 32 64 96, 0.0238718066897, 0.617578744888
0.0294884080239, leaky_relu, 0.0450150094336, 128 32 96 64, 0.774477330088, 0.976588129997
0.0194977429233, relu, 0.0188998435936, 96 32, 0.366051382805, 0.627968072891
0.000586899120762, tanh, 2.36956703024e-05, 96 32 64 128, 0.861635196302, 0.863469064236
0.0301341993254, relu, 0.00337980625995, 32 64 96 128, 0.735535990347, 0.965995907784
0.003360803004, tanh, 0.0106094066229, 128 32, 0.985771013697, 0.979469716549
0.000306532741772, leaky_relu, 4.24691196001e-05, 96, 0.469582132428, 0.633165478706
0.00117263865735, tanh, 0.0219994370322, 32 128 96 64, 0.158578120915, 0.686767697334
0.00319488640538, tanh, 0.000142860828373, 32 128 64, 0.818599474049, 5.90007352829
0.0186226236934, tanh, 0.000307825924993, 32 64, 0.43740128437, 1.00443124771
0.0168731892158, leaky_relu, 0.00320724228227, 64 128, 0.915277837613, 0.973762214184
0.000535939731277, tanh, 2.77102425196e-05, 64 96 32, 0.601117275337, 0.777997374535
0.0497469554873, leaky_relu, 1.22081148174e-05, 96 128 64, 0.564493966665, 1.65858364105
0.000399908182807, leaky_relu, 0.00518835211332, 96 128 32, 0.726217809877, 0.764027893543
0.000255196310357, leaky_relu, 5.92990102203e-05, 64 32, 0.942479047631, 0.980263948441
0.00640082288303, leaky_relu, 0.000129935834376, 96 128 32, 0.520808181078, 0.68120521307
0.0374101656668, relu, 0.0585823814869, 64 32 96, 0.70617176164, 0.976060330868
0.00206926922469, relu, 0.0312390433168, 96 64 128, 0.876648482516, 0.977385520935
0.000138508798609, leaky_relu, 0.00115807258598, 32 128 96 64, 0.409837374972, 0.693446934223
0.00236819669739, leaky_relu, 0.000496172857063, 32 64, 0.42497265009, 0.64499861002
0.00015073663238, leaky_relu, 9.44627394977e-05, 32, 0.687323886524, 0.696899294853
0.052787601176, leaky_relu, 0.0270139429314, 96 64 32, 0.460071288491, 0.977072477341
0.035788719035, relu, 4.7229788845e-05, 96 64 128 32, 0.44188634608, 0.822003364563
0.0451902371075, leaky_relu, 0.0147609096165, 64 128 96, 0.911895572947, 6.40336275101
0.00896850458912, relu, 0.00108158968478, 32 64, 0.303648290431, 0.643516123295
0.000148717045573, relu, 4.88078472929e-05, 128 96 64, 0.927023950478, 0.973183870316
0.00151788709236, leaky_relu, 5.60771980977e-05, 32 96, 0.151310724919, 0.635450839996
0.216287505855, leaky_relu, 1.1179792595e-05, 64 96 128, 0.454754197511, 152383.28125
