Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.094056860772, leaky_relu, 0.000137945221756, 96 64 128 32, 0.843753933907
0.0628332534419, leaky_relu, 0.0810256427317, 128 96 32 64, 0.997101485729
0.000835142094904, leaky_relu, 0.0600945660376, 128 32, 0.791907012463
0.00110504776687, leaky_relu, 2.0319301977e-05, 96 64, 0.781480312347
0.246013694981, leaky_relu, 0.0278571453306, 128 96 64, 9.22215747833
0.0077357006918, relu, 0.0018805637969, 128, 0.691651463509
0.305174095277, leaky_relu, 0.00158399809572, 32 128 96 64, 19.5464458466
0.00322653495243, relu, 0.00930161214069, 128 64 32, 0.63438308239
0.000146553363976, relu, 5.3565201427e-05, 32 64 96 128, 0.781828045845
0.00135639253601, leaky_relu, 2.64740636213e-05, 96 64, 0.76497823
0.169980820133, relu, 0.000353797275353, 128 96 64, 1.00665688515
0.000529226036578, leaky_relu, 3.83812633137e-05, 32 96 128, 0.79316085577
0.00776913367282, relu, 0.00745051378375, 64 32 128 96, 0.786551713943
0.00144255852397, relu, 0.00011768793382, 32 128 64 96, 0.803249299526
0.00382726428193, relu, 0.0102167066402, 96 32 128 64, 0.778657972813
0.016023645405, relu, 0.000780361362689, 64 32 96, 0.694081366062
0.00280110783762, leaky_relu, 0.00392702247248, 64 96 32 128, 0.709167063236
0.000343347565103, leaky_relu, 1.71267685149e-05, 128 64 96 32, 0.717065215111
0.00177465649441, leaky_relu, 0.002905743563, 64, 0.687530040741
0.665769749613, relu, 0.00416832909648, 64 128, 1.02151203156
0.000336580234662, relu, 0.0207417555109, 96 64 32 128, 0.998760998249
0.020645361854, leaky_relu, 0.0116136498748, 128 64 32, 0.652801215649
0.00073500805256, leaky_relu, 0.0121611985226, 64 96 32, 0.667525351048
0.692505194859, leaky_relu, 0.0136522175565, 128 96 64 32, 53965.5976562
0.00416575374636, leaky_relu, 1.19241014199e-05, 128 32 96, 0.777688264847
0.00732876031493, relu, 9.25878655675e-05, 128 32 64, 0.792617440224
0.475135964005, leaky_relu, 0.00462329392839, 128 96 64 32, 3445.79003906
0.00266652474289, leaky_relu, 0.00211978544382, 64 32 96 128, 0.759089171886
0.00434263205851, relu, 0.00145031828508, 64 32, 0.740494906902
0.00937571498216, relu, 0.00280253966765, 128 64 96, 0.675174593925
0.0283485211412, relu, 0.00021191950062, 64 32 128 96, 0.783809006214
0.000141986870977, leaky_relu, 4.5611021262e-05, 64 96, 0.694865107536
0.0526948185017, relu, 0.00990744498583, 32 64 128 96, 1.00361287594
0.00210455853711, relu, 0.0296926917552, 64 96 128, 0.791167736053
0.0028861409513, relu, 0.0105897403306, 96 32 128, 0.637141048908
0.113355752592, leaky_relu, 0.00163657891822, 96 128 32 64, 1.03659462929
0.00109864485941, leaky_relu, 0.0293704665897, 64 32 96 128, 1.00117278099
0.00122701325739, relu, 4.61686886655e-05, 32, 0.708598196507
0.371627084417, leaky_relu, 0.00344633724703, 96 64, 65.3880081177
0.0445837973038, relu, 0.00183176877095, 128 64, 0.634942829609
0.000121771968568, leaky_relu, 0.000298743972198, 64 96, 0.72374111414
0.000180036638993, leaky_relu, 0.0163580246761, 64 128 96 32, 0.993529200554
0.00119312540594, relu, 0.0304719276904, 128 96 32 64, 0.998988986015
0.0927061396437, leaky_relu, 0.00429198306133, 96 64 32, 0.688719451427
0.00689212236297, relu, 0.0224462072835, 128 96 32, 0.732483863831
0.606822413679, relu, 0.0172699083068, 128 32, 1.00226294994
0.00103485375213, relu, 0.000376671840158, 32 128 64 96, 0.723713994026
0.0513460158628, relu, 0.000187228154419, 128 32 64, 0.918210923672
0.772513859356, relu, 3.20037508065e-05, 96 64 32 128, 1.00645697117
0.639808435395, leaky_relu, 0.0772607842663, 64 32 128, 58.5287780762
0.000327565068495, leaky_relu, 0.000297241915748, 128 64 96 32, 0.708001673222
0.000147641134282, leaky_relu, 0.00294853733036, 32 96 64, 0.768142879009
0.00547730775823, relu, 0.0192222705628, 32 64 96 128, 1.00309729576
0.00157003757419, relu, 1.3082714101e-05, 128, 0.808332026005
0.104591679604, leaky_relu, 0.0202633199232, 32, 0.623717904091
0.0769593995969, relu, 8.25128283096e-05, 64 32, 0.813743472099
0.000574375290144, relu, 0.00135466849632, 128 64 96, 0.696009933949
0.013488145018, leaky_relu, 0.00307419887886, 64 32 128, 0.711788833141
0.545686859835, leaky_relu, 0.0814760508651, 32 64, 0.85300642252
0.962087124532, leaky_relu, 0.065856892732, 128 96, 4910.43164062
0.16740036069, leaky_relu, 0.0128488897282, 64 128 96 32, 314350.40625
0.0017408940203, relu, 0.0131166969221, 32 96, 0.631824195385
0.00275144468854, relu, 0.000509632779056, 64 128 96 32, 0.715277731419
0.0203058167059, leaky_relu, 0.00708402291334, 64 32, 0.6381072402
0.000428004707449, relu, 0.0418233558453, 64 96 32 128, 0.997451603413
0.00651414587834, leaky_relu, 0.0188387350785, 64 32 96 128, 1.00315082073
0.0356315873672, relu, 0.0209270890505, 128 64 96, 0.712623417377
0.155063364345, leaky_relu, 0.000240892668346, 32 64 128 96, 1.03570914268
0.114745076952, leaky_relu, 0.00319444575668, 64 96 32, 0.743129551411
0.000358301816702, relu, 0.0335979927739, 128 64 96, 0.798574447632
0.682638808096, relu, 0.0144133288672, 96 32 64 128, 1.09898579121
0.0765082368732, relu, 0.000653038976216, 96 32 128 64, 0.966085851192
0.000929122466501, leaky_relu, 5.63201673046e-05, 64 128 32 96, 0.866630852222
0.099712075414, relu, 4.17399636236e-05, 64 128 96 32, 1.00456321239
0.000213687750147, leaky_relu, 0.0117279293982, 128 64 96, 0.627990305424
0.00555958068566, relu, 0.00192189978001, 96 128 32 64, 0.694689691067
0.0461661918221, relu, 9.90597412138e-05, 64 32 128 96, 0.993674457073
0.0295580786685, relu, 0.000156017214589, 96 32, 0.819918870926
0.00309702009627, relu, 0.000517833236587, 96 128 32, 0.680587112904
0.00544240131401, leaky_relu, 0.000374857104088, 128 96 64, 0.699004352093
0.603791741933, relu, 0.00135134398757, 96 128, 1.01867461205
0.155208324661, relu, 0.0006832429226, 64 32, 0.989649057388
0.0071787614568, relu, 0.0115327599175, 128 32 64, 0.636911571026
0.378105608621, relu, 3.77775249889e-05, 64 32 96, 1.00155448914
0.12733926755, leaky_relu, 7.1648526544e-05, 64 128 96 32, 0.982310175896
0.280290315782, relu, 1.1138652425e-05, 64 128, 1.00603091717
0.0203496186516, relu, 7.72199889715e-05, 128 32, 0.779251635075
0.200339129356, leaky_relu, 4.75320002018e-05, 128 96 64 32, 7.59177589417
0.064109196425, relu, 9.86823685776e-05, 128 32 64, 0.951595962048
0.000154970057144, leaky_relu, 0.00410237804744, 128 96 32 64, 0.645370125771
0.250928585465, leaky_relu, 1.38941991067e-05, 96 32 64 128, 474.888275146
0.0178453578382, relu, 0.00209913740824, 32 64 96, 0.738090872765
0.0943048038957, leaky_relu, 1.77336442775e-05, 32 96 128, 0.887846827507
0.0504668413781, relu, 0.000497545370712, 64 32 128 96, 0.828576207161
0.000870770455287, relu, 0.000671901732506, 32 96 128, 0.820603072643
0.206516241524, relu, 0.000467989625333, 128 96, 0.994403362274
0.00018457210011, leaky_relu, 2.22826705025e-05, 96, 0.709634363651
0.00106820922179, relu, 0.00253129287023, 64 96 32 128, 0.692826807499
0.745130600906, relu, 0.000164343120896, 128 64 96 32, 1.21890759468
0.0275773787237, relu, 5.80584274096e-05, 32 128 64 96, 0.823760509491
0.351504024681, relu, 3.65544048078e-05, 32 96 64, 0.994883000851
0.402211764931, leaky_relu, 0.00023293772784, 128 96, 9.99173927307
0.0121030773176, leaky_relu, 1.09719107512e-05, 128 96 64 32, 0.694287598133
0.0036612168019, relu, 0.000186376132428, 128 32, 0.683580994606
0.00141648234316, relu, 0.0303024674258, 32 96 64, 0.800511777401
0.000234131448302, leaky_relu, 0.0360494217625, 64 128 32 96, 0.998396575451
0.000205194829369, relu, 1.55662661225e-05, 128, 0.755891978741
0.0604006099138, leaky_relu, 7.89084644952e-05, 96 128, 0.750874519348
0.000101118156556, leaky_relu, 0.0150385318955, 96 128 64, 0.631528139114
0.0885233344773, leaky_relu, 0.0859510053421, 96 64 32 128, 0.995513021946
0.536676282252, relu, 1.00987821055e-05, 96 32 128, 1.0085003376
0.139969011058, relu, 1.00097755584e-05, 64 128 96 32, 0.999800264835
0.000537399262689, leaky_relu, 0.00288801000733, 96 64 32, 0.654331147671
0.00659952277366, leaky_relu, 3.77208828266e-05, 32 96 64, 0.779005169868
0.15944264892, relu, 0.0267882282302, 128 64, 0.640439152718
0.00110458711901, relu, 0.000158535076798, 64 32 96 128, 0.763999521732
0.18564952813, leaky_relu, 0.0409354752785, 64 32 128 96, 0.999639570713
0.00133951985605, leaky_relu, 0.0236693136968, 128 64 32, 0.786886096001
0.00121054947297, relu, 1.75555696672e-05, 128 96 32 64, 0.672472596169
